chrom	chromStart	chromEnd	name	title	trait	genes	orOrBeta	pValue	lincRNAsTranscripts_name	lincRNAsTranscripts_distance	lincRNAsTranscripts_feature	refGene_name	refGene_distance	refGene_feature
chr11	1909005	1909006	rs3817198	Genome-wide association study identifies novel breast cancer susceptibility loci.	Breast cancer	LSP1	1.07	3E-9	TCONS_00019134	-14870	intergenic	LSP1	0	intron+utr3
chr11	1941945	1941946	rs909116	Genome-wide association study identifies five new breast cancer susceptibility loci.	Breast cancer	LSP1	1.17	7E-7	TCONS_00019134	12800	intergenic	TNNT3	0	intron+utr5
chr11	2169773	2169774	rs3741208	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	INS	1.25	2E-7	TCONS_00061606_H19;TCONS_00063837_H19	150708;150708	intergenic;intergenic	IGF2-AS;INS-IGF2;INS-IGF2;IGF2	0;0;0;0	nc_exon;nc_intron;intron;intron+utr5
chr11	2170142	2170143	rs1004446	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Type 1 diabetes autoantibodies	IGF2AS	1.40	3E-23	TCONS_00063837_H19;TCONS_00061606_H19	151077;151077	intergenic;intergenic	INS-IGF2;INS-IGF2;IGF2	0;0;0	nc_intron;intron;intron+utr5
chr11	2170142	2170143	rs1004446	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	Type 1 diabetes	INS	1.61	4E-9	TCONS_00063837_H19;TCONS_00061606_H19	151077;151077	intergenic;intergenic	INS-IGF2;INS-IGF2;IGF2	0;0;0	nc_intron;intron;intron+utr5
chr11	2182223	2182224	rs689	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Type 1 diabetes autoantibodies	INS	NR	5E-196	TCONS_00061606_H19;TCONS_00063837_H19	163158;163158	intergenic;intergenic	INS;INS-IGF2;INS;INS-IGF2	0;0;0;0	exon+utr5;intron+utr5;intron+utr5;nc_intron
chr11	2213165	2213166	rs7111341	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	Type 1 diabetes	INS	NR	4E-48	TCONS_00019564	-136995	intergenic	MIR4686	18797	intergenic
chr11	2233573	2233574	rs7127900	Identification of seven new prostate cancer susceptibility loci through a genome-wide association study.	Prostate cancer	IGF2, IGF2AS, INS, TH	1.22	3E-33	TCONS_00019564	-116587	intergenic	MIR4686	39205	intergenic
chr11	2484802	2484803	rs2074238	Common variants at ten loci influence QT interval duration in the QTGEN Study.	QT interval	KCNQ1	7.88	3E-17	TCONS_00019824	86383	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2486119	2486120	rs16928297	Impact of Ancestry and Common Genetic Variants on QT Interval in African Americans.	QT interval	NR	1.25	2E-6	TCONS_00019824	87700	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2489341	2489342	rs12296050	Several common variants modulate heart rate, PR interval and QRS duration.	Electrocardiographic traits	KCNQ1	13.16	8E-11	TCONS_00019824	90922	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2489341	2489342	rs12296050	Common variants at ten loci modulate the QT interval duration in the QTSCD Study.	QT interval	KCNQ1	1.44	3E-17	TCONS_00019824	90922	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2502318	2502319	rs12576239	Common variants at ten loci influence QT interval duration in the QTGEN Study.	QT interval	KCNQ1	1.75	1E-15	TCONS_00019824	103899	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2550729	2550730	rs179429	Genome-wide meta-analyses identifies seven loci associated with platelet aggregation in response to agonists.	Platelet aggregation	KCNQ1	NR	7E-6	TCONS_00063838_KCNQ1OT1	-111037	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2691470	2691471	rs231362	Twelve type 2 diabetes susceptibility loci identified through large-scale association analysis.	Type 2 diabetes	KCNQ1	1.08	3E-13	TCONS_00063838_KCNQ1OT1	0	nc_exon	KCNQ1;KCNQ1;KCNQ1OT1	0;0;0	intron;nc_intron;nc_exon
chr11	2752608	2752609	rs231906	Impact of Ancestry and Common Genetic Variants on QT Interval in African Americans.	QT interval	KCNQ1	1.51	2E-6	TCONS_00063838_KCNQ1OT1	31380	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2766281	2766282	rs2237878	A genome-wide association study identifies protein quantitative trait loci (pQTLs).	Protein quantitative trait loci	KCNQ1	NR	1E-6	TCONS_00063838_KCNQ1OT1	45053	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2810730	2810731	rs2237886	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	KCNQ1	.05	2E-13	TCONS_00019070	-80531	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2839750	2839751	rs2237892	A Genome-Wide Association Study Identifies GRK5 and RASGRP1 as Type 2 Diabetes Loci in Chinese Hans.	Type 2 diabetes	KCNQ1	1.32	1E-7	TCONS_00019070	-51511	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2839750	2839751	rs2237892	Genome-wide association study of type 2 diabetes in a sample from Mexico City and a meta-analysis of a Mexican-American sample from Starr County, Texas.	Type 2 diabetes	KCNQ1	1.20	4E-6	TCONS_00019070	-51511	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2839750	2839751	rs2237892	Confirmation of multiple risk Loci and genetic impacts by a genome-wide association study of type 2 diabetes in the Japanese population.	Type 2 diabetes	KCNQ1	1.33	1E-26	TCONS_00019070	-51511	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2839750	2839751	rs2237892	Variants in KCNQ1 are associated with susceptibility to type 2 diabetes mellitus.	Type 2 diabetes	KCNQ1	1.40	2E-42	TCONS_00019070	-51511	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2844215	2844216	rs163182	A genome-wide association study confirms previously reported loci for type 2 diabetes in Han Chinese.	Type 2 diabetes	KCNQ1	1.28	2E-17	TCONS_00019070	-47046	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2857193	2857194	rs2237895	A genome-wide association study identifies susceptibility variants for type 2 diabetes in Han Chinese.	Type 2 diabetes	KCNQ1	1.29	1E-9	TCONS_00019070	-34068	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2858545	2858546	rs2237897	SNPs in KCNQ1 are associated with susceptibility to type 2 diabetes in East Asian and European populations.	Type 2 diabetes	KCNQ1	1.33	1E-16	TCONS_00019070	-32716	intergenic	KCNQ1;KCNQ1	0;0	intron;nc_intron
chr11	2936951	2936952	rs16928809	Genome-wide association meta-analysis for total serum bilirubin levels.	Bilirubin levels	SLC22A18	.06	1E-7	TCONS_00019566	34612	intergenic	SLC22A18	0	intron
chr11	2953722	2953723	rs3847646	Common variants in the calcium-sensing receptor gene are associated with total serum calcium levels.	Calcium levels	SLC22A18,PHLDA2,CDKN1C,NAP1L4	.03	5E-6	TCONS_00019566	51383	intergenic	PHLDA2	3072	intergenic
chr11	3036323	3036324	rs739401	Joint influence of small-effect genetic variants on human longevity.	Longevity	CARS	NR	1E-6	TCONS_00019566	133984	intergenic	CARS;CARS	0;0	nc_intron;intron
chr11	4496845	4496846	rs2278170	A high-density genome-wide association screen of sporadic ALS in US veterans.	Amyotrophic lateral sclerosis	OR52K1	1.43	7E-6	TCONS_00019831	64736	intergenic	OR52K1	-13262	intergenic
chr11	5225446	5225447	rs7950726	HbA2 levels in normal adults are influenced by two distinct genetic mechanisms.	HbA2 levels	HBB	NR	1E-11	TCONS_00019139	-823	intergenic	OR51V1	3516	intergenic
chr11	5225634	5225635	rs11036238	Genome-wide and fine-resolution association analysis of malaria in West Africa.	Malaria	HBB	1.59	4E-11	TCONS_00019139	-635	intergenic	OR51V1	3704	intergenic
chr11	5264145	5264146	rs2071348	A genome-wide association identified the common genetic variants influence disease severity in beta0-thalassemia/hemoglobin E.	Beta thalassemia/hemoglobin E disease	HBE1, HBG2, HBG1, HBD, HBBP1	4.05	3E-15	TCONS_00019139	35607	intergenic	HBBP1	0	nc_intron
chr11	5306508	5306509	rs4910742	A genome-wide association scan on the levels of markers of inflammation in Sardinians reveals associations that underpin its complex regulation.	Inflammatory biomarkers	HBB	NR	2E-9	TCONS_00019139	77970	intergenic	HBE1	15135	intergenic
chr11	5306508	5306509	rs4910742	Genome-wide association study shows BCL11A associated with persistent fetal hemoglobin and amelioration of the phenotype of beta-thalassemia.	Fetal hemoglobin levels	HBB	.58	1E-21	TCONS_00019139	77970	intergenic	HBE1	15135	intergenic
chr11	5518155	5518156	rs372091	Genome-wide association study indicates two novel resistance loci for severe malaria.	Malaria	HBB	2.17	6E-14	TCONS_00019139	289617	intergenic	OR51B5;OR51B5	0;0	nc_intron;intron+utr5
chr11	7367094	7367095	rs10769780	Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.	Phospholipid levels (plasma)	SYT9	.80	3E-8	TCONS_00019568	348631	intergenic	SYT9	0	intron
chr11	7708280	7708281	rs7932813	NRXN3 is a novel locus for waist circumference: a genome-wide association study from the CHARGE Consortium.	Waist circumference	OVCH2	NR	5E-6	TCONS_00019217	-41358	intergenic	OVCH2	-2387	intergenic
chr11	7968358	7968359	rs878860	Genome-wide association study identifies eight new susceptibility loci for atopic dermatitis in the Japanese population.	Atopic dermatitis	OR10A3, NLRP10	1.31	2E-22	TCONS_00019117	-64467	intergenic	OR10A3	7291	intergenic
chr11	8014776	8014777	rs12420464	Genome-wide association scan of trait depression.	Depression (quantitative trait)	EIF3F	.38	3E-6	TCONS_00019117	-18049	intergenic	EIF3F	0	intron
chr11	8243797	8243798	rs11041816	A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance.	Fasting glucose-related traits (interaction with BMI)	LMO1	NR	2E-7	TCONS_00020038	205760	intergenic	LMO1	-2052	intergenic
chr11	8252852	8252853	rs110419	Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.	Neuroblastoma	LMO1	1.32	1E-13	TCONS_00020038	214815	intergenic	LMO1;LMO1	0;0	nc_intron;intron
chr11	8252852	8252853	rs110419	Integrative genomics identifies LMO1 as a neuroblastoma oncogene.	Neuroblastoma	LMO1	1.34	5E-16	TCONS_00020038	214815	intergenic	LMO1;LMO1	0;0	nc_intron;intron
chr11	8484088	8484089	rs10769908	Six new loci associated with body mass index highlight a neuronal influence on body weight regulation.	Body mass index	STK33	NR	1E-6	TCONS_00020038	446051	intergenic	STK33	0	intron
chr11	8604592	8604593	rs4929949	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	RPL27A, TUB	.06	3E-9	TCONS_00019570	-533093	intergenic	STK33	0	intron+utr5
chr11	8639199	8639200	rs4929923	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	TRIM66	2.30	1E-8	TCONS_00019570	-498486	intergenic	TRIM66	0	exon+utr3
chr11	10350537	10350538	rs7129220	Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.	Systolic blood pressure	ADM	.62	3E-12	TCONS_00019230	26304	intergenic	ADM	21614	intergenic
chr11	10350537	10350538	rs7129220	Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk.	Diastolic blood pressure	ADM	.30	6E-8	TCONS_00019230	26304	intergenic	ADM	21614	intergenic
chr11	10350537	10350538	rs7129220	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	ADM	.38	4E-7	TCONS_00019230	26304	intergenic	ADM	21614	intergenic
chr11	10388781	10388782	rs2923084	Biological, clinical and population relevance of 95 loci for blood lipids.	HDL cholesterol	ADM,AMPD3	.41	5E-8	TCONS_00019230	64548	intergenic	ADM	59858	intergenic
chr11	10390580	10390581	rs6484218	Cross-disorder genomewide analysis of schizophrenia, bipolar disorder, and depression.	Schizophrenia, bipolar disorder and depression (combined)	ADM	NR	4E-8	TCONS_00019230	66347	intergenic	ADM	61657	intergenic
chr11	10669227	10669228	rs7940646	Genome-wide meta-analyses identifies seven loci associated with platelet aggregation in response to agonists.	Platelet aggregation	MRVI1	NR	1E-6	TCONS_00019231	-135604	intergenic	MRVI1;MRVI1	0;0	intron;intron+utr5
chr11	10740365	10740366	rs2018368	A genome-wide meta-analysis identifies novel loci associated with schizophrenia and bipolar disorder.	Bipolar disorder and schizophrenia	NR	1.24	1E-6	TCONS_00019231	-64466	intergenic	MRVI1	24830	intergenic
chr11	11228373	11228374	rs2722769	A genome-wide association search for type 2 diabetes genes in African Americans.	Type 2 diabetes	GALNTL4, LOC729013	1.35	2E-6	TCONS_00019575	-35922	intergenic	GALNT18	-64046	intergenic
chr11	11504227	11504228	rs7940423	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	Response to tocilizumab in rheumatoid arthritis	Intergenic	10.90	1E-7	TCONS_00019576	-152597	intergenic	GALNT18	0	intron
chr11	12070664	12070665	rs16910421	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	Visceral fat	DKK3	NR	4E-6	TCONS_00019576	398229	intergenic	DKK3	39747	intergenic
chr11	12072502	12072503	rs923175	Genetic association with overall survival of taxane-treated lung cancer patients - A genome-wide association study in human lymphoblastoid cell lines followed by a clinical association study.	Response to taxane treatment (docetaxel)	DKK3	NR	7E-6	TCONS_00019576	400067	intergenic	DKK3	41585	intergenic
chr11	12469396	12469397	rs7120489	Genomic variation associated with mortality among adults of European and African ancestry with heart failure: the cohorts for heart and aging research in genomic epidemiology consortium.	Mortality among heart failure patients	PARVA	1.35	7E-6	TCONS_00019856	-171473	intergenic	PARVA	0	intron
chr11	12698039	12698040	rs7926971	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	TEAD1	.02	4E-10	TCONS_00019577	12790	intergenic	TEAD1	0	intron+utr5
chr11	13293904	13293905	rs900145	Thirty new loci for age at menarche identified by a meta-analysis of genome-wide association studies.	Menarche (age at onset)	ARNTL	2.30	2E-8	TCONS_00019120;TCONS_00019119	282809;282809	intergenic;intergenic	ARNTL	-5419	intergenic
chr11	13361523	13361524	rs6486122	Genome-wide association study for circulating levels of PAI-1 provides novel insights into its regulation.	Plasminogen activator inhibitor type 1 levels (PAI-1)	ARNTL	.05	2E-10	TCONS_00019119;TCONS_00019120	350428;350428	intergenic;intergenic	ARNTL	0	intron+utr5
chr11	13620171	13620172	rs9630182	IL21R and PTH may underlie variation of femoral neck bone mineral density as revealed by a genome-wide association study.	Bone mineral density	PTH	.11	4E-7	TCONS_00019239	-242028	intergenic	FAR1	-70033	intergenic
chr11	14098481	14098482	rs17556665	A genome-wide association study of inflammatory biomarker changes in response to fenofibrate treatment in the Genetics of Lipid Lowering Drug and Diet Network.	Inflammatory biomarkers	SPON1	NR	1E-6	TCONS_00019239	228981	intergenic	SPON1	0	intron
chr11	14784109	14784110	rs11023332	Novel loci for adiponectin levels and their influence on type 2 diabetes and metabolic traits: a multi-ethnic meta-analysis of 45,891 individuals.	Adiponectin levels	NR	.02	7E-6	TCONS_00019241	-150848	intergenic	PDE3B	0	intron
chr11	14910233	14910234	rs1993116	Genome-wide association study of circulating vitamin D levels.	Vitamin D levels	CYP2R1	.25	3E-17	TCONS_00019241	-24724	intergenic	CYP2R1	0	intron
chr11	14914877	14914878	rs10741657	Common genetic determinants of vitamin D insufficiency: a genome-wide association study.	Vitamin D insufficiency	CYP2R1	NR	3E-20	TCONS_00019241	-20080	intergenic	CYP2R1	1126	intergenic
chr11	14915309	14915310	rs2060793	Genome-wide association study of circulating vitamin D levels.	Vitamin D levels	CYP2R1	.25	3E-17	TCONS_00019241	-19648	intergenic	CYP2R1	1558	intergenic
chr11	15355245	15355246	rs11605083	A genome-wide search for loci interacting with known prostate cancer risk-associated genetic variants.	Prostate cancer (gene x gene interaction)	INSC	1.28	4E-6	TCONS_00019242	-289931	intergenic	INSC	86491	intergenic
chr11	15694461	15694462	rs7117858	Twenty bone-mineral-density loci identified by large-scale meta-analysis of genome-wide association studies.	Bone mineral density (hip)	SOX6	.09	6E-10	TCONS_00019242	12336	intergenic	SOX6	-293532	intergenic
chr11	15952293	15952294	rs11023787	A genome-wide association analysis implicates SOX6 as a candidate gene for wrist bone mass.	Wrist bone mass	SOX6	NR	5E-16	TCONS_00019244	0	nc_intron	SOX6	-35700	intergenic
chr11	16040174	16040175	rs16932455	Identification of novel germline polymorphisms governing capecitabine sensitivity.	Capecitabine sensitivity	SOX6	NR	2E-6	TCONS_00019244	87698	intergenic	SOX6	0	intron
chr11	16389593	16389594	rs297325	Powerful bivariate genome-wide association analyses suggest the SOX6 gene influencing both obesity and osteoporosis phenotypes in males.	Obesity and osteoporosis	SOX6	NR	4E-7	TCONS_00019585	-400067	intergenic	SOX6;SOX6	0;0	intron+utr5;intron
chr11	16403510	16403511	rs4756846	Powerful bivariate genome-wide association analyses suggest the SOX6 gene influencing both obesity and osteoporosis phenotypes in males.	Obesity and osteoporosis	SOX6	NR	5E-7	TCONS_00019585	-386150	intergenic	SOX6;SOX6	0;0	intron+utr5;intron
chr11	16902267	16902268	rs381815	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	PLEKHA7	.24	7E-6	TCONS_00019585	111503	intergenic	PLEKHA7	0	intron
chr11	16902267	16902268	rs381815	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	Blood pressure	PLEKHA7	.30	3E-8	TCONS_00019585	111503	intergenic	PLEKHA7	0	intron
chr11	16902267	16902268	rs381815	Genome-wide association study of blood pressure and hypertension.	Systolic blood pressure	PLEKHA7	.65	2E-9	TCONS_00019585	111503	intergenic	PLEKHA7	0	intron
chr11	16917218	16917219	rs11024074	Genome-wide association study of blood pressure and hypertension.	Diastolic blood pressure	PLEKHA7	.33	1E-6	TCONS_00019585	126454	intergenic	PLEKHA7	0	intron
chr11	17008604	17008605	rs11024102	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary open-angle)	PLEKHA7	1.22	5E-12	TCONS_00019246	-80061	intergenic	PLEKHA7	0	intron
chr11	17160147	17160148	rs4356203	Genome-wide association study identifies five new schizophrenia loci.	Schizophrenia	NR	1.09	1E-7	TCONS_00019246	70313	intergenic	PIK3C2A	0	intron
chr11	17316028	17316029	rs1330	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	NUCB2	.02	5E-9	TCONS_l2_00004424	65291	intergenic	NUCB2	0	intron+utr5
chr11	17408629	17408630	rs5215	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	KCNJ11	1.16	4E-7	TCONS_00019861	5420	intergenic	KCNJ11	0	cds
chr11	17408629	17408630	rs5215	Replication of genome-wide association signals in UK samples reveals risk loci for type 2 diabetes.	Type 2 diabetes	KCNJ11	1.14	5E-11	TCONS_00019861	5420	intergenic	KCNJ11	0	cds
chr11	17409571	17409572	rs5219	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	KCNJ11	1.19	5E-7	TCONS_00019861	6362	intergenic	KCNJ11;KCNJ11	0;0	cds;intron+utr5
chr11	17409571	17409572	rs5219	Adiposity-related heterogeneity in patterns of type 2 diabetes susceptibility observed in genome-wide association data.	Type 2 diabetes	KCNJ11	1.25	1E-9	TCONS_00019861	6362	intergenic	KCNJ11;KCNJ11	0;0	cds;intron+utr5
chr11	17409571	17409572	rs5219	A genome-wide association study of type 2 diabetes in Finns detects multiple susceptibility variants.	Type 2 diabetes	KCNJ11	1.14	7E-11	TCONS_00019861	6362	intergenic	KCNJ11;KCNJ11	0;0	cds;intron+utr5
chr11	17409571	17409572	rs5219	Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.	Type 2 diabetes	KCNJ11	1.15	1E-7	TCONS_00019861	6362	intergenic	KCNJ11;KCNJ11	0;0	cds;intron+utr5
chr11	18265798	18265799	rs12282742	A genome-wide meta-analysis identifies novel loci associated with schizophrenia and bipolar disorder.	Bipolar disorder and schizophrenia	NR	1.67	1E-6	TCONS_00020046	-18000	intergenic	SAA2;SAA2-SAA4	0;0	intron;intron
chr11	18285773	18285774	rs4638289	Genome-wide association study identifies two novel regions at 11p15.5-p13 and 1p31 with major impact on acute-phase serum amyloid A.	Amyloid A Levels	SAA1	.31	3E-53	TCONS_00020046	1476	intergenic	SAA1	-2033	intergenic
chr11	18323516	18323517	rs4353250	Genome-wide association study identifies two novel regions at 11p15.5-p13 and 1p31 with major impact on acute-phase serum amyloid A.	Amyloid A Levels	HPS5, GTF2H1	.27	2E-51	TCONS_00020046	39219	intergenic	HPS5	0	intron
chr11	18325145	18325146	rs2403254	Human metabolic individuality in biomedical and pharmaceutical research.	Metabolic traits	HPS5	.11	1E-20	TCONS_00020046	40848	intergenic	HPS5	0	intron
chr11	18419805	18419806	rs2896526	Genome-wide association study identifies two novel regions at 11p15.5-p13 and 1p31 with major impact on acute-phase serum amyloid A.	Amyloid A Levels	LDHA, LDHC	.22	4E-22	TCONS_00020046	135508	intergenic	LDHA;LDHA	0;0	nc_intron;intron
chr11	18632983	18632984	rs10128711	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	SPTY2D1	1.06	3E-8	TCONS_00019588	20598	intergenic	SPTY2D1	0	intron
chr11	18689652	18689653	rs12295403	Genetic variants and environmental factors associated with hormonal markers of ovarian reserve in Caucasian and African American women.	Ovarian reserve	TMEM86A	NR	5E-6	TCONS_00019588	77267	intergenic	TMEM86A	-30697	intergenic
chr11	19569562	19569563	rs874426	Genome-wide association scan of the time to onset of attention deficit hyperactivity disorder.	Attention deficit hyperactivity disorder (time to onset)	Intergenic	NR	4E-6	TCONS_00019251	237327	intergenic	NAV2	0	intron
chr11	19599970	19599971	rs10741780	Genomewide association study for determinants of HIV-1 acquisition and viral set point in HIV-1 serodiscordant couples with quantified virus exposure.	HIV-1 susceptibility	AC023950.6	.00	6E-6	TCONS_00019251	267735	intergenic	NAV2	0	intron
chr11	20562518	20562519	rs7128311	Genome-wide interrogation of germline genetic variation associated with treatment response in childhood acute lymphoblastic leukemia.	Response to treatment for acute lymphoblastic leukemia	intergenic	13.90	5E-6	TCONS_00019252	410637	intergenic	PRMT3	31639	intergenic
chr11	20698928	20698929	rs1793004	Systematic association mapping identifies NELL1 as a novel IBD disease gene.	Crohn's disease	NELL1	1.30	3E-6	TCONS_00019252	547047	intergenic	NELL1	0	intron
chr11	20984204	20984205	rs61883261	Genome-wide association study of d-amphetamine response in healthy volunteers identifies putative associations, including cadherin 13 (CDH13).	Response to amphetamines	NELL1	NR	9E-6	TCONS_00019253	-820013	intergenic	NELL1	0	intron
chr11	21058730	21058731	rs4569005	Genome-wide mapping for clinically relevant predictors of lamotrigine- and phenytoin-induced hypersensitivity reactions.	Adverse response to lamotrigine and phenytoin	NELL1	NR	5E-6	TCONS_00019253	-745487	intergenic	NELL1	0	intron
chr11	21620947	21620948	rs1573535	The genetic aetiology of cannabis use initiation: a meta-analysis of genome-wide association studies and a SNP-based heritability estimation.	Cannbis use (initiation)	NELL1	.03	4E-6	TCONS_00019253	-183270	intergenic	NELL1	23718	intergenic
chr11	22114092	22114093	rs11026412	Meta-analysis of Parkinson's disease: identification of a novel locus, RIT2.	Parkinson's disease	Intergenic	1.16	3E-6	TCONS_00019257	0	nc_intron	ANO5	-100628	intergenic
chr11	22829756	22829757	rs7111546	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	Dialysis-related mortality	GAS2	1.72	2E-6	TCONS_00020048;TCONS_00020049	-39065;-39065	intergenic;intergenic	GAS2	0	intron
chr11	22843154	22843155	rs712022	Genome-wide association scan for survival on dialysis in African-Americans with type 2 diabetes.	Dialysis-related mortality	SVIP	1.61	6E-6	TCONS_00020048;TCONS_00020049	-25667;-25667	intergenic;intergenic	SVIP	-442	intergenic
chr11	23044591	23044592	rs10833905	GWAS for discovery and replication of genetic loci associated with sudden cardiac arrest in patients with coronary artery disease.	Sudden cardiac arrest	Intergenic	1.32	7E-7	TCONS_00020048;TCONS_00020049	162526;162526	intergenic;intergenic	CCDC179	162619	intergenic
chr11	24252527	24252528	rs16912285	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	Visceral adipose tissue/subcutaneous adipose tissue ratio	LUZP2	NR	7E-6	TCONS_00019593	422749	intergenic	LUZP2	-265987	intergenic
chr11	24611129	24611130	rs12361953	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	LUZP2	NR	8E-7	TCONS_00019593	781351	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24678818	24678819	rs4561213	Genome-wide association studies of serum magnesium, potassium, and sodium concentrations identify six Loci influencing serum magnesium levels.	Magnesium levels	LUZP2	.00	3E-7	TCONS_00019593	849040	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24739803	24739804	rs10834449	Genome-wide association study of intelligence: additive effects of novel brain expressed genes.	Intelligence	LUZP2	NR	8E-8	TCONS_00019593	910025	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24740433	24740434	rs2716458	Genome-wide association study of intelligence: additive effects of novel brain expressed genes.	Intelligence	LUZP2	NR	8E-8	TCONS_00019593	910655	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24741658	24741659	rs12798374	Genome-wide association study of intelligence: additive effects of novel brain expressed genes.	Intelligence	LUZP2	NR	8E-8	TCONS_00019593	911880	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24741756	24741757	rs1021261	Genome-wide association study of intelligence: additive effects of novel brain expressed genes.	Intelligence	LUZP2	NR	8E-8	TCONS_00019593	911978	intergenic	LUZP2;LUZP2	0;0	intron+utr5;intron
chr11	24849565	24849566	rs10500991	Variants in TF and HFE explain approximately 40% of genetic variation in serum-transferrin levels.	Iron status biomarkers	LUZP2	NR	2E-6	TCONS_00019593	1019787	intergenic	LUZP2	0	intron
chr11	25207703	25207704	rs12794435	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	NR	1.16	5E-6	TCONS_00019593	1377925	intergenic	LUZP2	103517	intergenic
chr11	26605330	26605331	rs12295638	Common body mass index-associated variants confer risk of extreme obesity.	Obesity (extreme)	MUC15	1.49	4E-6	TCONS_00019596	-633285	intergenic	ANO3	0	intron
chr11	27563381	27563382	rs988712	Genome wide association study identifies KCNMA1 contributing to human obesity.	Obesity	BDNF	1.36	5E-17	TCONS_00019262	28561	intergenic	BDNF-AS	0	nc_intron
chr11	27583128	27583129	rs7481311	Genome-wide association yields new sequence variants at seven loci that associate with measures of obesity.	Weight	BDNF	3.50	3E-6	TCONS_00019262	48308	intergenic	BDNF-AS	0	nc_intron
chr11	27583128	27583129	rs7481311	Genome-wide association yields new sequence variants at seven loci that associate with measures of obesity.	Body mass index	BDNF	3.15	8E-6	TCONS_00019262	48308	intergenic	BDNF-AS	0	nc_intron
chr11	27667201	27667202	rs925946	Genome-wide association yields new sequence variants at seven loci that associate with measures of obesity.	Weight	BDNF	3.80	4E-9	TCONS_00019121	11073	intergenic	BDNF-AS	0	nc_intron
chr11	27667201	27667202	rs925946	Genome-wide association yields new sequence variants at seven loci that associate with measures of obesity.	Body mass index	BDNF	3.85	9E-10	TCONS_00019121	11073	intergenic	BDNF-AS	0	nc_intron
chr11	27679915	27679916	rs6265	Genome-wide meta-analyses identify multiple loci associated with smoking behavior.	Smoking behavior	BDNF	1.06	2E-8	TCONS_00019121	23787	intergenic	BDNF;BDNF-AS	0;0	cds;nc_exon
