chrom	chromStart	chromEnd	name	trait	genes	orOrBeta	pValue
chr12	72125284	72125285	rs11178918	Economic and political preferences (time)	Intergenic	.18	8E-6
chr12	72724033	72724034	rs12831974	Rheumatoid arthritis	TRHDE	1.27	6E-6
chr12	72724033	72724034	rs12831974	Rheumatoid arthritis	TRHDE	1.27	6E-6
chr12	73307581	73307582	rs10879517	Cognitive performance	AC131213.4	NR	4E-6
chr12	73601131	73601132	rs11615274	Body mass index and cholesterol (psychopharmacological treatment)	Intergenic	NR	9E-8
chr12	73828955	73828956	rs7963521	Chemerin levels	TRHDE	NR	9E-6
chr12	73989836	73989837	rs1154865	Breast cancer	Intergenic	NR	7E-7
chr12	74586209	74586210	rs10506701	Bone mineral density	Intergenic	NR	1E-6
chr12	76220617	76220618	rs7307780	Sudden cardiac arrest	Intergenic	1.45	5E-15
chr12	77009059	77009060	rs2669010	Systemic lupus erythematosus	RPL7AP59	1.28	5E-6
chr12	77729384	77729385	rs1402279	Smoking behavior	Intergenic	1.51	5E-6
chr12	77899509	77899510	rs17788937	Myopia (pathological)	Intergenic	NR	4E-15
chr12	78485993	78485994	rs300489	Self-rated health	NAV3	.03	5E-6
chr12	80062229	80062230	rs7297018	Attention deficit hyperactivity disorder and conduct disorder	PAWR	NR	4E-6
chr12	80496922	80496923	rs10506821	Hip geometry	Intergenic	NR	2E-7
chr12	81843127	81843128	rs12426725	Schizophrenia	PPFIA2	1.37	4E-6
chr12	82984878	82984879	rs12425131	Immune response to smallpox vaccine (IL-6)	TMTC2	NR	2E-6
chr12	83019187	83019188	rs11115322	Immune response to smallpox vaccine (IL-6)	TMTC2	NR	3E-6
chr12	83164555	83164556	rs12317459	Prostate cancer (gene x gene interaction)	TMTC2	2.06	4E-6
chr12	84008274	84008275	rs2403106	Neonatal lupus	TMTC2	2.48	3E-6
chr12	84564067	84564068	rs1545843	Major depressive disorder	SLC6A15	1.40	1E-9
chr12	88890670	88890671	rs995030	Testicular germ cell tumor	KITLG	2.55	1E-31
chr12	88890670	88890671	rs995030	Testicular germ cell tumor	KITLG	2.69	3E-30
chr12	88953560	88953561	rs3782181	Testicular germ cell cancer	KITLG	2.22	2E-26
chr12	88953958	88953959	rs4474514	Testicular cancer	KITLG	3.07	6E-15
chr12	89328334	89328335	rs12821256	Blond vs. brown hair color	KITLG	2.32	4E-30
chr12	90008958	90008959	rs2681472	Hypertension	ATP2B1	.15	2E-11
chr12	90008958	90008959	rs2681472	Diastolic blood pressure	ATP2B1	.50	1E-9
chr12	90013088	90013089	rs2681492	Systolic blood pressure	ATP2B1	.85	4E-11
chr12	90060585	90060586	rs17249754	Blood pressure	ATP2B1	.39	6E-10
chr12	90060585	90060586	rs17249754	Blood pressure	ATP2B1	.56	1E-17
chr12	90060585	90060586	rs17249754	Blood pressure	ATP2B1	1.17	8E-20
chr12	90060585	90060586	rs17249754	Blood pressure	ATP2B1	.58	2E-13
chr12	90060585	90060586	rs17249754	Biomedical quantitative traits	ATP2B1	.63	3E-6
chr12	90060585	90060586	rs17249754	Biomedical quantitative traits	ATP2B1	1.06	1E-7
chr12	90081187	90081188	rs7136259	Coronary heart disease	ATP2B1	1.11	6E-10
chr12	90305778	90305779	rs7965584	Magnesium levels	ATP2B1	.07	1E-16
chr12	90443481	90443482	rs10858945	Optic disc size (cup)	LOC643153	.17	6E-6
chr12	90609016	90609017	rs10745527	vWF and FVIII levels	dessert	.16	5E-6
chr12	91077507	91077508	rs1847461	Smoking behavior	Intergenic	1.80	8E-6
chr12	91980373	91980374	rs10777317	Sudden cardiac arrest	DCN	1.12	5E-6
chr12	92164301	92164302	rs10777332	Biochemical measures	Intergenic	.24	5E-6
chr12	92305269	92305270	rs17019682	Heart failure	BTG1	1.47	2E-6
chr12	92890519	92890520	rs10219495	Sudden cardiac arrest	PLEKHG7	1.14	5E-6
chr12	93550300	93550301	rs1836127	Non-alcoholic fatty liver disease histology (other)	Intergenic	.76	3E-6
chr12	93976953	93976954	rs3825199	Height	SOCS2, MRPL42, CRADD, UBE2N	6.20	2E-7
chr12	93978503	93978504	rs11107116	Height	SOCS2	.05	1E-34
chr12	93978503	93978504	rs11107116	Height	SOCS2	.04	6E-10
chr12	94120338	94120339	rs10859563	Height	SOCS2	NR	3E-12
chr12	95711875	95711876	rs10859871	Endometriosis	VEZT	1.20	5E-13
chr12	95959787	95959788	rs7136572	Response to antidepressant treatment	USP44	NR	3E-7
chr12	96027758	96027759	rs17356907	Breast size	NEDD1, MIR135A2	.08	1E-6
chr12	96271427	96271428	rs1036429	Pulmonary function	CCDC38	.04	2E-11
chr12	96479266	96479267	rs2660869	Height	LTA4H	4.39	3E-6
chr12	96807916	96807917	rs11108495	Weight	C12orf55	1.55	4E-6
chr12	96858361	96858362	rs12423247	Phospholipid levels (plasma)	CDK17	.80	3E-8
chr12	97689767	97689768	rs10777845	Sudden cardiac arrest	Intergenic	1.12	5E-6
chr12	99190371	99190372	rs2036225	Amyotrophic lateral sclerosis (age of onset)	ANKS1B	NR	8E-6
chr12	99816841	99816842	rs7968606	Response to antipsychotic treatment	ANKS1B	10.00	3E-7
chr12	99961348	99961349	rs2373011	Waist circumference	ANKS1B	1.71	2E-6
chr12	99961348	99961349	rs2373011	Body mass index	ANKS1B	.03	9E-6
chr12	100266112	100266113	rs11110077	Working memory	ANKS1B	NR	4E-7
chr12	101753953	101753954	rs10507130	Coronary artery calcification	DRIM	NR	7E-6
chr12	102373787	102373788	rs7971536	Height	CCDC53/GNPTAB	.03	8E-14
chr12	102513530	102513531	rs2292303	Height	NUP37, C12orf48, PMCH	.51	8E-6
chr12	102726337	102726338	rs1520223	Height	IGF1	.56	9E-7
chr12	102799597	102799598	rs5742692	Height	IGF1	.07	4E-8
chr12	102875568	102875569	rs35767	Fasting insulin-related traits	IGF1	NR	3E-8
chr12	102875568	102875569	rs35767	Fasting insulin-related traits	IGF1	NR	2E-9
chr12	102875568	102875569	rs35767	Fasting glucose-related traits	IGF1	NR	3E-8
chr12	102875568	102875569	rs35767	Fasting glucose-related traits	IGF1	NR	2E-9
chr12	102912557	102912558	rs35747	Fasting insulin-related traits (interaction with BMI)	IGF1	NR	1E-9
chr12	103125689	103125690	rs2172873	Uterine fibroids	NR	1.18	2E-6
chr12	103483093	103483094	rs10745954	C-reactive protein	ASCL1	.04	2E-11
chr12	103495150	103495151	rs10778213	C-reactive protein	Unknown	.12	1E-10
chr12	103912505	103912506	rs10861032	Coronary restenosis	C12orf42, STAB2, NT5DC3	NR	1E-7
chr12	104139033	104139034	rs7306642	vWF and FVIII levels	STAB2	.30	3E-6
chr12	104192823	104192824	rs4964805	Attention deficit hyperactivity disorder	NT5DC3	NR	5E-6
chr12	104317995	104317996	rs1165668	Coronary heart disease	HSP90B1	NR	3E-9
chr12	104318171	104318172	rs1165669	Coronary heart disease	HSP90B1	NR	3E-9
chr12	104421807	104421808	rs2629751	Hepatitis C induced liver fibrosis	GLT8D2	NR	1E-7
chr12	105017163	105017164	rs12811699	Cannabis dependence	CHST11	1.74	8E-6
chr12	106785553	106785554	rs6539267	Tourette syndrome	POLR3B, TCP11L2, FLJ45508	1.27	6E-6
chr12	106949986	106949987	rs4964469	Parkinson's disease	Intergenic	1.16	2E-7
chr12	106950694	106950695	rs3891355	Cognitive test performance	POLR3B, RFX4	NR	3E-6
chr12	107704704	107704705	rs1820460	Cognitive performance	BTBD11	NR	8E-6
chr12	108602969	108602970	rs7313402	Temperament (bipolar disorder)	WSCD2	1.13	8E-6
chr12	108699031	108699032	rs1878022	Response to platinum-based chemotherapy in non-small-cell lung cancer	CMKLR1	1.33	5E-7
chr12	108742819	108742820	rs17040430	Bipolar disorder	CMKLR1	1.89	9E-7
chr12	108767332	108767333	rs10861905	Erectile dysfunction and prostate cancer treatment	CMKLR1	33.95	8E-7
chr12	109025426	109025427	rs8179116	Conduct disorder (symptom count)	SELPLG	.23	3E-6
chr12	109840939	109840940	rs9943753	HDL cholesterol	MYO1H,KCTD10,UBE3B,MMAB,MVK	.02	3E-6
chr12	109895167	109895168	rs2338104	HDL cholesterol	MMAB,MVK	.07	1E-10
chr12	109895167	109895168	rs2338104	HDL cholesterol	MVK,MMAB	.48	3E-8
chr12	110000192	110000193	rs7134594	HDL cholesterol	MMAB,MVK	.44	7E-15
chr12	110368200	110368201	rs2292354	Metabolic syndrome	GIT2	NR	7E-6
chr12	110704486	110704487	rs11065611	Protein quantitative trait loci	ATP2A2	NR	1E-7
chr12	111333621	111333622	rs10849915	Alcohol consumption	CCDC63	.55	1E-23
chr12	111340242	111340243	rs10774610	Drinking behavior	CCDC63	3.33	9E-120
chr12	111414460	111414461	rs12229654	HDL cholesterol	MYL2	.03	3E-23
chr12	111414460	111414461	rs12229654	Gamma glutamyl transpeptidase	MYL2	.01	9E-58
chr12	111414460	111414461	rs12229654	Alcohol consumption	MYL2	.79	4E-35
chr12	111708457	111708458	rs1265564	Type 1 diabetes	CUX2	1.45	1E-16
chr12	111884607	111884608	rs3184504	Hypothyroidism	SH2B3, ATXN2, LOC100101246, BRAP, NAA25, C12orf51, PTPN11	1.20	3E-12
chr12	111884607	111884608	rs3184504	Platelet counts	SH2B3	3.99	1E-26
chr12	111884607	111884608	rs3184504	Diastolic blood pressure	SH2B3	.45	4E-25
chr12	111884607	111884608	rs3184504	Type 1 diabetes autoantibodies	SH2B3	1.30	2E-38
chr12	111884607	111884608	rs3184504	Coronary heart disease	SH2B3	1.07	6E-6
chr12	111884607	111884608	rs3184504	Rheumatoid arthritis	SH2B3	1.08	6E-6
chr12	111884607	111884608	rs3184504	Type 1 diabetes	SH2B3	NR	3E-27
chr12	111884607	111884608	rs3184504	Systolic blood pressure	SH2B3	.58	5E-9
chr12	111884607	111884608	rs3184504	Diastolic blood pressure	SH2B3	.48	3E-14
chr12	111884607	111884608	rs3184504	Eosinophil counts	SH2B3	7.60	7E-19
chr12	111904370	111904371	rs4766578	Vitiligo	SH2B3	1.32	4E-18
chr12	111910218	111910219	rs10774625	Retinal vascular caliber	ATXN2,PTPN11,SH2B3	1.50	2E-13
chr12	112007755	112007756	rs653178	Blood pressure	ATXN2	.43	7E-20
chr12	112007755	112007756	rs653178	Celiac disease and Rheumatoid arthritis	SH2B3	NR	3E-19
chr12	112007755	112007756	rs653178	Chronic kidney disease	ATXN2	.01	4E-11
chr12	112007755	112007756	rs653178	Celiac disease	SH2B3	1.20	7E-21
chr12	112007755	112007756	rs653178	Diastolic blood pressure	ATXN2, SH2B3	.46	3E-18
chr12	112007755	112007756	rs653178	Celiac disease	SH2B3, ATXN2	1.21	8E-8
chr12	112072423	112072424	rs11065987	LDL cholesterol	BRAP	.97	2E-9
chr12	112072423	112072424	rs11065987	Cholesterol, total	BRAP	.96	7E-12
chr12	112072423	112072424	rs11065987	Hemoglobin	TRAFD1	.06	1E-11
chr12	112072423	112072424	rs11065987	Hematocrit	SH2B3, ATXN2	.17	1E-12
chr12	112168008	112168009	rs11066015	Esophageal cancer	ACAD10	1.38	7E-21
chr12	112190437	112190438	rs6490294	Mean platelet volume	ACAD10	4.38	5E-9
chr12	112211832	112211833	rs2238151	Stroke (ischemic)	ALDH2	1.13	1E-6
chr12	112241765	112241766	rs671	Renal function-related traits (sCR)	ALDH2	.00	3E-10
chr12	112241765	112241766	rs671	Intracranial aneurysm	ALDH2	1.24	3E-6
chr12	112241765	112241766	rs671	Triglycerides	ALDH2	NR	2E-6
chr12	112241765	112241766	rs671	Coronary heart disease	ALDH2	1.43	2E-34
chr12	112241765	112241766	rs671	Drinking behavior	ALDH2, BRAP	6.25	4E-211
chr12	112241765	112241766	rs671	Esophageal cancer	BRAP, ALDH2	1.67	3E-24
chr12	112486817	112486818	rs17696736	Type 1 diabetes	C12orf30	NR	6E-18
chr12	112486817	112486818	rs17696736	Type 1 diabetes	SH2B3,LNK,TRAFD1,PTPN11	1.34	2E-14
chr12	112486817	112486818	rs17696736	Type 1 diabetes	C12orf30	1.22	2E-16
chr12	112521447	112521448	rs4767364	Upper aerodigestive tract cancers	ALDH2	1.13	2E-8
chr12	112645400	112645401	rs2074356	Renal function-related traits (BUN)	C12orf51	.01	2E-9
chr12	112645400	112645401	rs2074356	HDL cholesterol	C12orf51	.04	7E-37
chr12	112645400	112645401	rs2074356	Gamma glutamyl transpeptidase	C12orf51	.02	3E-126
chr12	112645400	112645401	rs2074356	Esophageal cancer	C12orf51	1.56	2E-31
chr12	112645400	112645401	rs2074356	Alcohol consumption	C12orf51,ALDH2	1.06	9E-59
chr12	112645400	112645401	rs2074356	Biomedical quantitative traits	C12orf51	.01	8E-12
chr12	112817782	112817783	rs11066280	Coronary heart disease	C12orf51	1.19	2E-11
chr12	112817782	112817783	rs11066280	Metabolite levels	C12orf51	.00	8E-22
chr12	112817782	112817783	rs11066280	Metabolite levels	C12orf51	.00	3E-63
chr12	112817782	112817783	rs11066280	Esophageal cancer	RPL6	1.30	2E-15
chr12	112817782	112817783	rs11066280	Blood pressure	RPL6, PTPN11, ALDH2	1.56	8E-31
chr12	112817782	112817783	rs11066280	Blood pressure	RPL6, PTPN11, ALDH2	1.01	1E-35
chr12	112871371	112871372	rs11066301	Hematological parameters	PTPN11	4.65	8E-12
chr12	113100993	113100994	rs17824620	Platelet counts	RPH3A,PTPN11	2.46	1E-8
chr12	113173493	113173494	rs3803064	Platelet counts	AC007425.1	NR	7E-6
chr12	113365620	113365621	rs11066453	Gamma glutamyl transpeptidase	Intergenic	.01	6E-44
chr12	113409175	113409176	rs2072134	HDL cholesterol	OAS3	.02	6E-6
chr12	113409175	113409176	rs2072134	Alcohol consumption	OAS3	.61	6E-17
chr12	113491783	113491784	rs7956193	Visceral adipose tissue adjusted for BMI	DTX1, OAS2, RASAL1	NR	1E-6
chr12	113607501	113607502	rs2384207	Response to fenofibrate (adiponectin levels)	DDX54, TPCN1, SLC24A6, OAS1, OAS2, OAS3	.06	5E-8
chr12	113979655	113979656	rs11066587	Quantitative traits	Intergenic	.26	5E-6
chr12	114637422	114637423	rs7294372	Visceral fat	TBX5	NR	3E-6
chr12	114637847	114637848	rs4767234	Airflow obstruction	TBX5	1.17	6E-7
chr12	114793239	114793240	rs883079	Ventricular conduction	TBX5	.49	1E-10
chr12	114795442	114795443	rs3825214	Electrocardiographic traits	TBX5	7.35	3E-13
chr12	114795442	114795443	rs3825214	Electrocardiographic traits	TBX5	7.36	3E-12
chr12	114795442	114795443	rs3825214	Electrocardiographic traits	TBX5	5.88	1E-7
chr12	114802137	114802138	rs1895585	PR interval	TBX5	3.19	1E-19
chr12	114868137	114868138	rs1265507	Mammographic density	TBX5, TBX3	NR	1E-8
chr12	115094259	115094260	rs11067228	Prostate-specific antigen levels	TBX3	8.30	2E-11
chr12	115346423	115346424	rs1896312	PR interval	TBX5, TBX3	1.95	3E-17
chr12	115352730	115352731	rs2384550	Blood pressure	TBX5, TBX3	.23	4E-6
chr12	115352730	115352731	rs2384550	Diastolic blood pressure	TBX3, TBX5	.35	4E-8
chr12	115380392	115380393	rs10850408	Alzheimer's disease	Intergenic	1.59	9E-7
chr12	115381739	115381740	rs10850409	Ventricular conduction	TBX3	.49	3E-10
chr12	115502717	115502718	rs2194980	Metabolite levels	Intergenic	NR	3E-7
chr12	115552436	115552437	rs35444	Blood pressure	TBX3	.63	8E-7
chr12	115552436	115552437	rs35444	Blood pressure	TBX3	.50	1E-10
chr12	115891402	115891403	rs7315438	Colorectal cancer	MED13L	1.11	6E-6
chr12	117002657	117002658	rs2089222	Acute lymphoblastic leukemia (childhood)	KRTHB5	2.26	8E-8
chr12	117295332	117295333	rs17429217	Alzheimer's disease (age of onset)	HRK, RNFT2	NR	3E-6
chr12	117327591	117327592	rs7294919	Hippocampal volume	HRK	107.80	3E-11
chr12	117327591	117327592	rs7294919	Brain structure	HRK, FBXW8	47.58	7E-16
chr12	117751424	117751425	rs478597	Inattentive symptoms	Intergenic	NR	8E-6
chr12	118169908	118169909	rs4304868	Visceral adipose tissue adjusted for BMI	KSR2	NR	8E-6
chr12	118311742	118311743	rs4767631	Biochemical measures	KSR2	.12	6E-7
chr12	118353870	118353871	rs10444502	Biochemical measures	KSR2	.17	6E-6
chr12	118893247	118893248	rs11613092	Hemostatic factors and hematological phenotypes	SUDS3	8.16	6E-6
chr12	119387917	119387918	rs1997111	T-tau	Intergenic	NR	1E-8
chr12	119818508	119818509	rs11064768	Schizophrenia	CCDC60	NR	1E-6
chr12	119989645	119989646	rs7137869	Aging traits	CCDC60	NR	6E-7
chr12	120455763	120455764	rs11064994	Cognitive performance	CCDC64	NR	6E-6
chr12	120880433	120880434	rs17431357	Insulin resistance/response	TRIAP1	34.00	1E-6
chr12	120974509	120974510	rs614226	Type 1 diabetes nephropathy	RNF10, COQ5	1.35	2E-6
chr12	121160614	121160615	rs2066938	Metabolic traits	ACADS	.61	4E-305
chr12	121175523	121175524	rs2014355	Metabolite levels	ACADS	21.50	5E-96
chr12	121236257	121236258	rs1039302	Quantitative traits	SPPL3	.21	5E-6
chr12	121363723	121363724	rs6489785	Longevity	HNF1A, TCF1	NR	1E-6
chr12	121388961	121388962	rs2650000	Metabolic traits	LEF1	.40	3E-11
chr12	121388961	121388962	rs2650000	LDL cholesterol	HNF1A	.07	2E-8
chr12	121402931	121402932	rs7305618	C-reactive protein	HNF1A	.27	1E-8
chr12	121402931	121402932	rs7305618	Type 2 diabetes	HNF1A	1.14	2E-8
chr12	121403723	121403724	rs7953249	Chronic obstructive pulmonary disease-related biomarkers	HNF1A, TCF1	NR	1E-6
chr12	121403723	121403724	rs7953249	N-glycan levels	HNF1A,C12orf43,OASL	.17	2E-8
chr12	121416649	121416650	rs1169288	Gamma gluatamyl transferase levels	HNF1A	.13	2E-18
chr12	121416649	121416650	rs1169288	LDL cholesterol	HNF1A	1.42	1E-15
chr12	121416649	121416650	rs1169288	Cholesterol, total	HNF1A	1.45	1E-14
chr12	121420259	121420260	rs7979473	C-reactive protein	HNF1A	.12	1E-10
chr12	121420806	121420807	rs1183910	C-reactive protein	HNF1A	.15	2E-124
chr12	121420806	121420807	rs1183910	C-reactive protein	HNF1A	13.80	1E-30
chr12	121423955	121423956	rs2393791	C-reactive protein and white blood cell count	HNF1A	.05	3E-9
chr12	121423955	121423956	rs2393791	Gamma glutamyl transpeptidase	HNF1A	.01	7E-30
chr12	121424860	121424861	rs7310409	Liver enzyme levels (gamma-glutamyl transferase)	HNF1A, C12orf27	6.80	7E-45
chr12	121424860	121424861	rs7310409	C-reactive protein	HNF1A	.07	3E-8
chr12	121424860	121424861	rs7310409	C-reactive protein	HNF1A	.15	7E-17
chr12	121435586	121435587	rs2259816	C-reactive protein	HNF1A, OASL, C12orf43	.14	3E-10
chr12	121435586	121435587	rs2259816	Coronary heart disease	HNF1A,C12orf43	1.08	5E-7
chr12	121438843	121438844	rs735396	N-glycan levels	HNF1A,C12orf43,OASL	.17	4E-8
chr12	121439432	121439433	rs1169310	C-reactive protein	HNF1A	.13	2E-8
chr12	121442669	121442670	rs1169313	Liver enzyme levels	HNF1A, C12orf27, C12orf43	.01	2E-10
chr12	121460685	121460686	rs7957197	Type 2 diabetes	HNF1A	1.07	2E-8
chr12	121471336	121471337	rs3213545	Cardiovascular disease risk factors	OASL	.12	4E-15
chr12	121622303	121622304	rs3751143	Chronic obstructive pulmonary disease-related biomarkers	P2RX7	NR	4E-6
chr12	121938184	121938185	rs10849893	Fasting glucose-related traits (interaction with BMI)	FBXL10	NR	2E-6
chr12	122365582	122365583	rs7961894	Platelet counts	WDR66	3.92	1E-10
chr12	122365582	122365583	rs7961894	Mean platelet volume	WDR66	.03	1E-103
chr12	122365582	122365583	rs7961894	Mean platelet volume	WDR66	.03	3E-44
chr12	122365582	122365583	rs7961894	Mean platelet volume	WDR66	.03	7E-48
chr12	122395776	122395777	rs830124	Urinary metabolites	WDR66, HPD	NR	1E-46
chr12	123174742	123174743	rs601339	Adiponectin levels	GPR109A	.03	4E-6
chr12	123296293	123296294	rs12817488	Parkinson's disease	CCDC62, HIP1R	1.14	3E-13
chr12	123457618	123457619	rs7296418	Platelet counts	ABCB9	NR	2E-6
chr12	123575741	123575742	rs1727307	Platelet counts	PITPNM2	NR	3E-6
chr12	123656724	123656725	rs1790100	Multiple sclerosis	MPHOSPH9	1.11	7E-7
chr12	123796237	123796238	rs4759375	HDL cholesterol	SBNO1	.86	8E-9
chr12	123822710	123822711	rs7980687	Head circumference (infant)	SBNO1	.07	8E-9
chr12	123823545	123823546	rs11830103	Height	SBNO1	.04	4E-15
chr12	124203831	124203832	rs6488898	Adiponectin levels	ATP6V0A2, GPR109A, DNAH10	.05	3E-10
chr12	124399549	124399550	rs1316952	Visceral adipose tissue/subcutaneous adipose tissue ratio	DNAH10	NR	9E-7
chr12	124399549	124399550	rs1316952	Visceral adipose tissue/subcutaneous adipose tissue ratio	DNAH10	NR	1E-7
chr12	124399549	124399550	rs1316952	Visceral adipose tissue adjusted for BMI	DNAH10	NR	5E-6
chr12	124460166	124460167	rs4765127	Triglycerides	CCDC92,ZNF664	2.42	1E-8
chr12	124460166	124460167	rs4765127	HDL cholesterol	CCDC92,ZNF664	.44	3E-10
chr12	124499541	124499542	rs1048497	Visceral adipose tissue/subcutaneous adipose tissue ratio	ZNF664	NR	7E-6
chr12	124499541	124499542	rs1048497	Visceral adipose tissue adjusted for BMI	ZNF664	NR	9E-6
chr12	124519845	124519846	rs1716403	Response to fenofibrate (adiponectin levels)	Intergenic	.14	2E-6
chr12	125033932	125033933	rs12423712	Cognitive performance	NCOR2	NR	7E-6
chr12	125261592	125261593	rs838880	HDL cholesterol	SCARB1	.61	3E-14
chr12	125307052	125307053	rs11057830	Vitamin E levels	SCARB1	.03	8E-9
chr12	125312424	125312425	rs10846744	Lipoprotein-associated phospholipase A2 activity and mass	SCARB1	4.60	1E-8
chr12	125316742	125316743	rs11057841	Lipoprotein-associated phospholipase A2 activity and mass	SCARB1	.03	6E-14
chr12	125320849	125320850	rs4765623	Renal cell carcinoma	SCARB1	1.15	3E-8
chr12	127792613	127792614	rs1823172	Sudden cardiac arrest	Intergenic	1.17	5E-7
chr12	127813740	127813741	rs10744304	Depression (quantitative trait)	Intergenic	.15	9E-6
chr12	128304417	128304418	rs11059374	Response to amphetamines	Intergenic	NR	2E-6
chr12	129095071	129095072	rs7296262	Suicide attempts in bipolar disorder	TMEM132C	1.22	1E-6
chr12	129300693	129300694	rs1385374	Systemic lupus erythematosus	SLC15A4	1.26	2E-11
chr12	129324937	129324938	rs10744391	Renal sinus fat	GLT1D1	.22	1E-6
chr12	129475938	129475939	rs643473	Aging	LOC100129252, NLRP9P	NR	9E-6
chr12	130630934	130630935	rs11060736	Gambling	Intergenic, FZD10, FLJ31485	.29	4E-6
chr12	131022009	131022010	rs1464108	Alzheimer's disease	RIMBP2	1.28	8E-6
chr12	131352561	131352562	rs7304057	Response to amphetamines	Intergenic	NR	4E-6
chr12	131390753	131390754	rs7299940	Panic disorder	Intergenic	NR	7E-6
chr12	131525052	131525053	rs3847687	Longevity	GPR133	NR	1E-6
chr12	131576190	131576191	rs1569019	Height	GPR133	.95	5E-8
chr12	131621761	131621762	rs885389	RR interval (heart rate)	GPR133	.17	4E-8
chr12	131862902	131862903	rs7965445	Mortality among heart failure patients	LOC338797	1.30	2E-6
chr12	131939919	131939920	rs10466868	Protein quantitative trait loci	GPR133	NR	1E-6
chr12	132085195	132085196	rs7315621	Longevity	AC117500.2	NR	1E-6
chr12	132325238	132325239	rs6598163	Migraine	MMP17	1.15	5E-7
chr12	133345808	133345809	rs12282	Immune response to smallpox vaccine (IL-6)	ANKLE2, GOLGA3	NR	3E-7
chr13	19311240	19311241	rs9552416	Fasting insulin-related traits (interaction with BMI)	TUBA3C	NR	3E-24
chr13	20736215	20736216	rs6490525	Capecitabine sensitivity	Intergenic	NR	4E-6
chr13	21209511	21209512	rs7326068	Schizophrenia, bipolar disorder and depression (combined)	IFT88	NR	3E-6
chr13	21280033	21280034	rs735539	Dental caries	IFT88	NR	4E-6
chr13	22305098	22305099	rs518590	Response to antipsychotic treatment	Intergenic	NR	2E-7
chr13	22487624	22487625	rs17369571	Protein quantitative trait loci	FGF3	NR	1E-7
chr13	22709669	22709670	rs7318731	RR interval (heart rate)	Intergenic	.14	1E-6
chr13	23228690	23228691	rs1034200	Central corneal thickness	AVGR8,AL354828.1	.14	4E-9
chr13	23294032	23294033	rs373767	Myopia (pathological)	ZC3H11B	.16	3E-10
chr13	23692977	23692978	rs4770394	Bipolar disorder	SGCG	1.59	9E-6
chr13	23744378	23744379	rs9507041	Cannabis dependence	Intergenic	1.55	8E-6
chr13	23755126	23755127	rs4770403	Alcohol dependence	NR	1.33	6E-6
chr13	23903790	23903791	rs4770433	Protein quantitative trait loci	SACS	NR	4E-6
chr13	24042509	24042510	rs10162002	Hypothyroidism	SACS, TNFRSF19	1.23	5E-6
chr13	24127209	24127210	rs1572072	Nasopharyngeal carcinoma	TNFRSF19	1.19	1E-8
chr13	24205194	24205195	rs9510787	Nasopharyngeal carcinoma	TNFRSF19	1.20	2E-9
chr13	24293858	24293859	rs753955	Lung cancer	MIPEP	1.18	2E-12
chr13	24296861	24296862	rs7324557	Visceral adipose tissue adjusted for BMI	TNFRSF19, MIPEP	NR	8E-6
chr13	24432466	24432467	rs9318086	Myopia (pathological)	MIPEP, C1QTNF9B-AS1, C1QTNF9B	1.32	2E-16
chr13	24504954	24504955	rs2765086	Weight	NR	3.86	6E-6
chr13	24598383	24598384	rs17079773	Inattentive symptoms	Intergenic	NR	5E-6
chr13	24654227	24654228	rs17079928	Orofacial clefts	SPATA13	1.33	6E-6
chr13	24658355	24658356	rs9805786	Depression and alcohol dependence	SPATA13	1.65	7E-6
chr13	24795488	24795489	rs715921	Airflow obstruction	SPATA13	1.20	8E-7
chr13	25082629	25082630	rs9581094	Sudden cardiac arrest	PARP4	1.70	7E-7
chr13	26037959	26037960	rs4770837	Bipolar disorder and schizophrenia	NR	1.25	5E-6
chr13	26724327	26724328	rs17511627	Alzheimer's disease	Intergenic	1.75	5E-6
chr13	27415672	27415673	rs9319321	Asthma (toluene diisocyanate-induced)	Intergenic	5.20	3E-6
chr13	27531266	27531267	rs17085007	Ulcerative colitis	Intergenic	1.16	1E-16
chr13	27531266	27531267	rs17085007	Ulcerative colitis	USP12	1.35	7E-8
chr13	27879525	27879526	rs10507380	Electrocardiographic traits	RPL21	NR	8E-6
chr13	27920610	27920611	rs9512637	Alcoholism (heaviness of drinking)	Intergenic	.11	1E-7
chr13	28020179	28020180	rs4771122	Body mass index	MTIF3, GTF3A	.09	9E-10
chr13	28058403	28058404	rs7336332	Weight	NR	4.01	1E-6
chr13	28077143	28077144	rs9512730	Schizophrenia	Intergenic	1.52	5E-6
chr13	28197435	28197436	rs7097	Large B-cell lymphoma	LNX2	1.44	7E-6
chr13	28429737	28429738	rs9512900	Attention deficit hyperactivity disorder and conduct disorder	GSX1, PDX1	NR	9E-6
chr13	28491197	28491198	rs2293941	Fasting glucose-related traits (interaction with BMI)	PDX1	NR	5E-10
chr13	28929710	28929711	rs17086609	Cognitive performance	FLT1	NR	5E-6
chr13	29278449	29278450	rs1305088	Non-alcoholic fatty liver disease histology (other)	SLC46A3	.58	9E-6
chr13	29431337	29431338	rs1161463	Attention deficit hyperactivity disorder symptoms (interaction)	Intergenic	1.72	2E-6
chr13	29961331	29961332	rs2388082	Insomnia (caffeine-induced)	MTUS2	1.69	4E-6
chr13	30458736	30458737	rs9314986	Biliary atresia	UBL3	2.95	2E-6
chr13	30885222	30885223	rs185694	Antineutrophil cytoplasmic antibody-associated vasculitis	KATNAL1	NR	4E-6
chr13	31113378	31113379	rs11618202	MRI atrophy measures	HMGB1	.00	7E-6
